7
2,3,1000,1000,1000,1000,1000,1000
4,8,1200,1400,1400,1600,1600,2000
9,13,1600,2000,1800,2200,2000,2600
14,18,2000,2400,2400,2800,2800,3200
19,30,2400,2600,2600,2800,3000,3000
31,50,2200,2400,2400,2600,2800,3000
51,1023456789,2000,2200,2200,2400,2400,2800
2,3,1000,1000,1000,1000,1000,1000
4,8,1200,1400,1400,1600,1400,1800
9,13,1400,1600,1600,2000,1800,2200
14,18,1800,1800,2000,2000,2400,2400
19,30,1800,2000,2000,2200,2400,2400
31,50,1800,1800,2000,2000,2200,2200
51,1023456789,1600,1600,1800,1800,2000,2200
